S. No ,Tower No, Supspension/Tenion,Tower Hight (Mtrs),Span Between Tower No.,Span Length (Mtrs),Footing Resistance of Tower (ohms),Ground Elevation,Horizontal Angle(˚),Latitude,Longitude,"Condition of    Tower  (Missing  parts,broken,etc)","Condition of Earht wire (Missing,Broken etc)",Crossing Objects,,Condition of Area (Plain/Hilly/Forest/Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,Mettukadai Gantry,T,20,,,,215,,11.31544,77.64735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64735 11.31544, 77.64732 11.31524)"
2,10,T,26,GANTRY - 10,22.378677698576396,15.93,215,"16⁰9'7"" LT",11.31524,77.64732,GOOD,GOOD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64732 11.31524, 77.64758 11.31335)"
3,9,S,26,10-09,211.11786959640108,13.76,220,,11.31335,77.64758,GOOD,GOOD,LT/ 33 KV/ SUBSTATION,SAND ,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64758 11.31335, 77.6478 11.31129)"
4,8,T,24,09-08,229.27848906859907,8.43,224,"12⁰40'11"" RT",11.31129,77.6478,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6478 11.31129, 77.64754 11.30909)"
5,7,S,26,08-07,245.16242909493954,14.26,230,,11.30909,77.64754,GOOD,GOOD,,,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64754 11.30909, 77.64749 11.30702)"
6,6,T,28,07-06,229.18733413064712,9.52,233,"31⁰28'21"" LT",11.30702,77.64749,GOOD,GOOD,33 KV,SAND,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64749 11.30702, 77.6489 11.30462)"
7,5,T,24,06-05,307.07541404260905,8.05,234,"13⁰42'2"" RT",11.30462,77.6489,GOOD,GOOD,LT,SAND/TAAR,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6489 11.30462, 77.64961 11.30224)"
8,4,S,26,05-04,274.6166122702781,9.93,238,,11.30224,77.64961,GOOD,GOOD,,SAND,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.64961 11.30224, 77.65043 11.29972)"
9,3,T,26,04-03,292.96357247329297,11.56,241,"15⁰35'39"" RT",11.29972,77.65043,GOOD,GOOD,LT/33 KV,TAAR,CANAL,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65043 11.29972, 77.6505 11.29793)"
10,2,T,24,03-02,198.27772837705675,14.08,243,"1⁰45'34"" LT",11.29793,77.6505,GOOD,GOOD,LT,TAAR,,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6505 11.29793, 77.65059 11.29665)"
11,TAPPING 315/1,T,28,02-315/1,142.02044658606283,12.86,243,"100⁰0'17"" LT",11.29665,77.65059,GOOD,GOOD,LT / 11 LV,SAND/TAAR,,Tapping to Thiruvachi line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65059 11.29665, 77.65344 11.29735)"
12,316,S,26,315/1-316,320.8477860248578,15.26,238,,11.29735,77.65344,GOOD,GOOD,LT,TAAR,HOUSING AREA,AGRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65344 11.29735, 77.65604 11.29792)"
13,317,S,26,316-317,290.96299051397597,9.75,239,,11.29792,77.65604,GOOD,GOOD,LT,TAAR,,SCHOOL BOUNDARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.65604 11.29792, 77.65809 11.29842)"
14,TAPPING 318 ,T,20,317-318,230.69179893193134,11.56,236,,11.29842,77.65809,GOOD,GOOD,LT,TAAR,,Tapping to Erode Grid Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL SPAN LENGTH,,,,,=SUM(F8:F20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
