S.No,Tower No.,Tower Suspension / Tension,Tower Model,Tower Type,Tower Height (m),Span Between Tower No.,Span Length (m),Footing Resistance of Tower ( Ohms),,Ground Elevation (m),Deviation Angle,Latitude,Longitude,"Condition of  Tower  (Missing  Parts, Broken,etc)","Condition of Earth wire (Missing, Broken etc)",Crossing Objects,,Condition of Area (Plain/ Hilly/  Forest/ Water Logged),Remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,line_geom
1,1,T,KCR,DB+0,22,,,3.8,"=IF(I6>15,0)",280.107666015625,,10.1372741907835,77.6859836094081,Good,Good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6859836094081 10.1372741907835, 77.6860771514475 10.1361665222793)"
2,2,T,KCR,DC+0,22,1-2,128.02855219229866,1.51,"=IF(I7>15,0)",282.0302734375,15°1'38''RT,10.1361665222793,77.6860771514475,Good,Good,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6860771514475 10.1361665222793, 77.6861487329006 10.1359696313738)"
3,DP 3,T,DP,DP ,12,2-DP 3,28.16326780283501,NIL,"=IF(I8>15,0)",282.0302734375,10°18'10''LT,10.1359696313738,77.6861487329006,Good,Good,,SOLAR PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6861487329006 10.1359696313738, 77.6862007007002 10.1356621831655)"
4,DP 4,T,DP,DP ,12,DP 3- DP 4,39.503246759137525,NIL,"=IF(I9>15,0)",286.356323242187,12°30'4''RT,10.1356621831655,77.6862007007002,NO E/W,Good,230KV THENI-SEMPATI,SOLAR PLANT,,UNDER CROSSING OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6862007007002 10.1356621831655, 77.686189552769 10.1353445090353)"
5,5,T,KCR,DD+0,24,DP 4-5,40.182388301826805,1.08,"=IF(I10>15,0)",290.922485351562,62°42'54''RT,10.1353445090353,77.686189552769,Good,Good,,SOLAR PLANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.686189552769 10.1353445090353, 77.6851763483136 10.1348700933158)"
6,6,T,KCR,DC+0,22,5-6,127.8980555204401,5.38,"=IF(I11>15,0)",277.223754882812,20°14'41''LT,10.1348700933158,77.6851763483136,Good,Good,230KV SOLOR,SOLAR PLANT,,OVER CROSSING OUR LINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LINESTRING(77.6851763483136 10.1348700933158, 77.684868061915 10.1348431035876)"
7,GANTRY,T,,DP,12,6-GANTRY,38.940702049801594,NIL,,285.875610351562,,10.1348431035876,77.684868061915,NO E/W,Good,22KV,ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,TOTOL KM,,=SUM(H6:H12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
